title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
Castle in the Sky (1986),19844,dvd,Disney / Buena Vista,Anime; Foreign; Fantasy; Family; Adventure; Romance; Imaginary,8.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/19844_medium.jpg?t=1317312378,"Apr 15, 2003"
Chappelle's Show: Season 2 (2004),11249,dvd,Paramount Pictures,Comedy,8.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/11249_medium.jpg?t=1330020971,"May 24, 2005"
Children of Men (2006),1779,dvd,Universal Studios,Drama; Mystery; Thriller; Sci-Fi,8.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/1779_medium.jpg?t=0,"Mar 27, 2007"
City of the Living Dead (1980),30878,dvd,Starz / Anchor Bay,Horror; Foreign; Supernatural,7.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/30878_medium.jpg?t=1578858870,"May 23, 2000"
Clerks (1994),12569,dvd,Miramax,Comedy,7.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/12569_medium.jpg?t=1318609712,"Apr 26, 2011"
Cloverfield (2008),75222,dvd,Paramount Pictures,Thriller; Action; Sci-Fi; Horror; Mystery,7.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/75222_medium.jpg?t=1388148501,"Jan 01, 2013"
Coheed and Cambria: Live at the Starland Ballroom (2005),129352,dvd,Columbia Music Video,Music,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/129352_medium.jpg?t=1479094166,"Mar 22, 2005"
Come Drink with Me (1966),20478,dvd,Weinstein Company,Martial arts; Adventure; Drama; Action,7.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/20478_medium.jpg?t=1317915132,"May 27, 2008"
"Crouching Tiger, Hidden Dragon (2000)",1682,dvd,Sony Pictures,Epic; Foreign; Martial arts; Drama; Period; Action; Adventure; Romance,8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/1682_medium.jpg?t=0,"Jun 05, 2001"
Dark Harvest / Escapes (1986-1992),137517,dvd,Intervision Picture Corp,Horror,6.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/137517_medium.jpg?t=1493664878,1992
Dawn of the Dead (2004),895,dvd,Universal Studios,Horror; Thriller; Action,7.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/895_medium.jpg?t=0,"Oct 26, 2004"
Dawn of the Dead (1978),1338,dvd,Starz / Anchor Bay,Horror; Drama; Action,8.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/1338_medium.jpg?t=1420429326,"Mar 09, 2004"
Dead Alive (1992),8860,dvd,Trimark Home Video,Horror; Dark humor; Comedy,7.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/8860_medium.jpg?t=0,"Sep 09, 1998"
The Deadly Duo (1971),44055,dvd,Tokyo Shock,Foreign; Martial arts; Action; Period; Adventure,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/44055_medium.jpg?t=1405795084,"Sep 30, 2008"
DeepStar Six (1989),3671,dvd,Artisan Entertainment,Horror; Sci-Fi; Action,5.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/3671_medium.jpg?t=1564234212,"Oct 23, 2001"
Defenders of Space (1984),146483,dvd,No title given.,Animation,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/146483_medium.jpg?t=1521014505,NA
Destroy All Monsters! (1968),37059,dvd,No title given.,Foreign; Sci-Fi; Fantasy; Action,7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/37059_medium.jpg?t=0,NA
Detonator Orgun (1991),144003,dvd,U.S. Manga Corps,Anime; Action,0,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/144003_medium.jpg?t=1512100089,"Sep 11, 2001"
Dirty Harry (1971),6295,dvd,Warner Bros.,Crime; Drama; Thriller; Action,8.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/6295_medium.jpg?t=1394483233,"Jun 03, 2008"
Dogora (1964),38335,dvd,Tokyo Shock,Crime; Sci-Fi,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/38335_medium.jpg?t=0,"Jul 12, 2005"
Dragon Ball Z: Volume 68 - Babidi - Rivals (1989-1996),137815,dvd,FUNimation Entertainment,Anime; Action; Fantasy; Sci-Fi; Adventure; Martial arts; Foreign; Comedy,8.3,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/137815_medium.jpg?t=1504133182,1996
Dragon Dynasty Double Feature: Golden Swallow / Killer Clans (1968-1976),126411,dvd,Arc Entertainment,Action; Drama; Romance; Adventure,6.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/126411_medium.jpg?t=1471872233,1976
Dragon Inn (1992),48538,dvd,Tai Seng,Foreign; Period; Action,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/48538_medium.jpg?t=0,"Mar 13, 2001"
